page,clicks,impressions,ctr,position
https://www.law-attorneys.com/personal-injury/case-1,895,33057,0.0271,10.7
https://www.law-attorneys.com/personal-injury/case-2,3312,44698,0.0741,10.1
https://www.law-attorneys.com/personal-injury/case-3,775,9889,0.0784,21.3
https://www.law-attorneys.com/personal-injury/case-4,1074,15888,0.0676,3.8
https://www.law-attorneys.com/personal-injury/case-5,2704,36502,0.0741,7.5
https://www.law-attorneys.com/personal-injury/case-6,568,8968,0.0634,3.6
https://www.law-attorneys.com/personal-injury/case-7,309,12915,0.024,8.6
https://www.law-attorneys.com/personal-injury/case-8,1447,39331,0.0368,20.5
https://www.law-attorneys.com/personal-injury/case-9,343,8918,0.0385,2.7
https://www.law-attorneys.com/personal-injury/case-10,168,46848,0.0036,4.6
https://www.law-attorneys.com/personal-injury/case-11,853,41053,0.0208,20.9
https://www.law-attorneys.com/personal-injury/case-12,2964,37809,0.0784,11.5
https://www.law-attorneys.com/personal-injury/case-13,52,1317,0.0399,22.4
https://www.law-attorneys.com/personal-injury/case-14,490,29910,0.0164,22.7
https://www.law-attorneys.com/personal-injury/case-15,204,9412,0.0217,22.1
https://www.law-attorneys.com/personal-injury/case-16,1690,29291,0.0577,24.7
https://www.law-attorneys.com/personal-injury/case-17,656,45909,0.0143,3.3
https://www.law-attorneys.com/personal-injury/case-18,594,9733,0.0611,22.7
https://www.law-attorneys.com/personal-injury/case-19,465,10244,0.0454,5.0
https://www.law-attorneys.com/personal-injury/case-20,2431,44217,0.055,8.6
https://www.law-attorneys.com/personal-injury/case-21,723,10798,0.067,16.6
https://www.law-attorneys.com/personal-injury/case-22,577,22839,0.0253,18.9
https://www.law-attorneys.com/personal-injury/case-23,10,365,0.0289,24.2
https://www.law-attorneys.com/personal-injury/case-24,2411,49731,0.0485,6.4
https://www.law-attorneys.com/personal-injury/case-25,234,12464,0.0188,6.0
https://www.law-attorneys.com/personal-injury/case-26,1627,48021,0.0339,23.2
https://www.law-attorneys.com/personal-injury/case-27,1675,24347,0.0688,20.2
https://www.law-attorneys.com/personal-injury/case-28,82,1534,0.0538,9.5
https://www.law-attorneys.com/personal-injury/case-29,245,38989,0.0063,8.5
https://www.law-attorneys.com/personal-injury/case-30,572,10585,0.0541,21.4
https://www.law-attorneys.com/personal-injury/case-31,1940,38886,0.0499,16.1
https://www.law-attorneys.com/personal-injury/case-32,404,21526,0.0188,2.5
https://www.law-attorneys.com/personal-injury/case-33,202,28975,0.007,17.6
https://www.law-attorneys.com/personal-injury/case-34,787,48310,0.0163,11.0
https://www.law-attorneys.com/personal-injury/case-35,2892,49791,0.0581,8.3
https://www.law-attorneys.com/personal-injury/case-36,303,5065,0.0599,24.9
https://www.law-attorneys.com/personal-injury/case-37,416,29101,0.0143,7.7
https://www.law-attorneys.com/personal-injury/case-38,59,1015,0.0591,11.2
https://www.law-attorneys.com/personal-injury/case-39,202,14479,0.014,16.2
https://www.law-attorneys.com/personal-injury/case-40,384,19035,0.0202,22.4
https://www.law-attorneys.com/personal-injury/case-41,17,7591,0.0023,3.5
https://www.law-attorneys.com/personal-injury/case-42,1062,16568,0.0641,23.4
https://www.law-attorneys.com/personal-injury/case-43,329,47005,0.007,1.6
https://www.law-attorneys.com/personal-injury/case-44,220,14508,0.0152,7.0
https://www.law-attorneys.com/personal-injury/case-45,154,9259,0.0167,20.3
https://www.law-attorneys.com/personal-injury/case-46,1254,19295,0.065,6.7
https://www.law-attorneys.com/personal-injury/case-47,1166,17735,0.0658,6.1
https://www.law-attorneys.com/personal-injury/case-48,1225,43766,0.028,1.5
https://www.law-attorneys.com/personal-injury/case-49,562,36266,0.0155,24.4
https://www.law-attorneys.com/personal-injury/case-50,3157,46574,0.0678,10.7
https://www.law-attorneys.com/personal-injury/case-51,925,28296,0.0327,9.9
https://www.law-attorneys.com/personal-injury/case-52,531,41228,0.0129,14.1
https://www.law-attorneys.com/personal-injury/case-53,33,486,0.0691,14.9
https://www.law-attorneys.com/personal-injury/case-54,557,8552,0.0652,19.4
https://www.law-attorneys.com/personal-injury/case-55,971,42631,0.0228,23.1
https://www.law-attorneys.com/personal-injury/case-56,1808,43160,0.0419,20.5
https://www.law-attorneys.com/personal-injury/case-57,1750,29168,0.06,5.4
https://www.law-attorneys.com/personal-injury/case-58,440,45378,0.0097,15.3
https://www.law-attorneys.com/personal-injury/case-59,835,15167,0.0551,2.9
https://www.law-attorneys.com/personal-injury/case-60,680,17364,0.0392,11.1
https://www.law-attorneys.com/car-accidents/case-1,1587,49778,0.0319,22.3
https://www.law-attorneys.com/car-accidents/case-2,245,47176,0.0052,12.5
https://www.law-attorneys.com/car-accidents/case-3,444,14584,0.0305,22.5
https://www.law-attorneys.com/car-accidents/case-4,287,12444,0.0231,9.0
https://www.law-attorneys.com/car-accidents/case-5,76,19547,0.0039,1.6
https://www.law-attorneys.com/car-accidents/case-6,1693,26836,0.0631,2.8
https://www.law-attorneys.com/car-accidents/case-7,483,35790,0.0135,21.1
https://www.law-attorneys.com/car-accidents/case-8,259,24011,0.0108,2.2
https://www.law-attorneys.com/car-accidents/case-9,961,14698,0.0654,8.4
https://www.law-attorneys.com/car-accidents/case-10,2000,42373,0.0472,15.1
https://www.law-attorneys.com/car-accidents/case-11,797,48061,0.0166,9.6
https://www.law-attorneys.com/car-accidents/case-12,789,34050,0.0232,23.1
https://www.law-attorneys.com/car-accidents/case-13,153,27961,0.0055,7.7
https://www.law-attorneys.com/car-accidents/case-14,340,48633,0.007,8.6
https://www.law-attorneys.com/car-accidents/case-15,1839,39297,0.0468,6.9
https://www.law-attorneys.com/car-accidents/case-16,17,653,0.0266,21.8
https://www.law-attorneys.com/car-accidents/case-17,984,49703,0.0198,10.2
https://www.law-attorneys.com/car-accidents/case-18,1166,38002,0.0307,21.5
https://www.law-attorneys.com/car-accidents/case-19,453,49337,0.0092,3.4
https://www.law-attorneys.com/car-accidents/case-20,137,3395,0.0404,12.3
https://www.law-attorneys.com/car-accidents/case-21,945,12877,0.0734,19.4
https://www.law-attorneys.com/car-accidents/case-22,730,15916,0.0459,12.1
https://www.law-attorneys.com/car-accidents/case-23,468,30412,0.0154,19.9
https://www.law-attorneys.com/car-accidents/case-24,1922,48673,0.0395,7.6
https://www.law-attorneys.com/car-accidents/case-25,837,12639,0.0663,4.3
https://www.law-attorneys.com/car-accidents/case-26,1745,28755,0.0607,16.4
https://www.law-attorneys.com/car-accidents/case-27,7,252,0.0288,16.0
https://www.law-attorneys.com/car-accidents/case-28,1511,46070,0.0328,8.4
https://www.law-attorneys.com/car-accidents/case-29,186,23022,0.0081,17.4
https://www.law-attorneys.com/car-accidents/case-30,2855,37375,0.0764,6.6
https://www.law-attorneys.com/car-accidents/case-31,36,2660,0.0139,22.0
https://www.law-attorneys.com/car-accidents/case-32,298,8657,0.0345,7.3
https://www.law-attorneys.com/car-accidents/case-33,1106,16297,0.0679,18.2
https://www.law-attorneys.com/car-accidents/case-34,160,4613,0.0349,6.7
https://www.law-attorneys.com/car-accidents/case-35,305,8470,0.0361,22.5
https://www.law-attorneys.com/car-accidents/case-36,163,23661,0.0069,21.3
https://www.law-attorneys.com/car-accidents/case-37,489,36535,0.0134,11.6
https://www.law-attorneys.com/car-accidents/case-38,1146,38618,0.0297,18.3
https://www.law-attorneys.com/car-accidents/case-39,601,7874,0.0764,24.2
https://www.law-attorneys.com/car-accidents/case-40,1222,29736,0.0411,10.8
https://www.law-attorneys.com/car-accidents/case-41,1250,17763,0.0704,6.0
https://www.law-attorneys.com/car-accidents/case-42,454,7695,0.0591,24.7
https://www.law-attorneys.com/car-accidents/case-43,2550,45220,0.0564,17.7
https://www.law-attorneys.com/car-accidents/case-44,447,36666,0.0122,13.2
https://www.law-attorneys.com/car-accidents/case-45,84,6747,0.0125,6.8
https://www.law-attorneys.com/car-accidents/case-46,117,4406,0.0267,23.4
https://www.law-attorneys.com/car-accidents/case-47,41,1286,0.0322,14.7
https://www.law-attorneys.com/car-accidents/case-48,20,464,0.0444,15.6
https://www.law-attorneys.com/car-accidents/case-49,133,2072,0.0646,9.3
https://www.law-attorneys.com/car-accidents/case-50,991,27097,0.0366,6.3
https://www.law-attorneys.com/car-accidents/case-51,28,1489,0.0191,4.8
https://www.law-attorneys.com/car-accidents/case-52,160,13823,0.0116,5.7
https://www.law-attorneys.com/car-accidents/case-53,1529,21598,0.0708,16.1
https://www.law-attorneys.com/car-accidents/case-54,1010,17988,0.0562,8.5
https://www.law-attorneys.com/car-accidents/case-55,479,18595,0.0258,14.8
https://www.law-attorneys.com/car-accidents/case-56,353,8528,0.0414,17.7
https://www.law-attorneys.com/car-accidents/case-57,1230,16952,0.0726,4.1
https://www.law-attorneys.com/car-accidents/case-58,1056,15222,0.0694,8.8
https://www.law-attorneys.com/car-accidents/case-59,337,8662,0.039,11.4
https://www.law-attorneys.com/car-accidents/case-60,1502,44311,0.0339,24.7
https://www.law-attorneys.com/dog-bites/case-1,1346,21209,0.0635,14.1
https://www.law-attorneys.com/dog-bites/case-2,443,17653,0.0251,11.2
https://www.law-attorneys.com/dog-bites/case-3,847,17504,0.0484,3.1
https://www.law-attorneys.com/dog-bites/case-4,155,2366,0.0658,21.5
https://www.law-attorneys.com/dog-bites/case-5,72,40057,0.0018,6.4
https://www.law-attorneys.com/dog-bites/case-6,286,47040,0.0061,16.6
https://www.law-attorneys.com/dog-bites/case-7,913,17779,0.0514,18.5
https://www.law-attorneys.com/dog-bites/case-8,1401,23323,0.0601,16.1
https://www.law-attorneys.com/dog-bites/case-9,906,18507,0.049,9.2
https://www.law-attorneys.com/dog-bites/case-10,173,17748,0.0098,16.8
https://www.law-attorneys.com/dog-bites/case-11,526,9945,0.0529,10.4
https://www.law-attorneys.com/dog-bites/case-12,303,17874,0.017,17.5
https://www.law-attorneys.com/dog-bites/case-13,653,25734,0.0254,22.7
https://www.law-attorneys.com/dog-bites/case-14,4,153,0.0314,12.5
https://www.law-attorneys.com/dog-bites/case-15,144,14476,0.01,2.1
https://www.law-attorneys.com/dog-bites/case-16,616,16525,0.0373,14.7
https://www.law-attorneys.com/dog-bites/case-17,155,3619,0.0431,22.4
https://www.law-attorneys.com/dog-bites/case-18,962,13516,0.0712,4.0
https://www.law-attorneys.com/dog-bites/case-19,181,2730,0.0665,8.3
https://www.law-attorneys.com/dog-bites/case-20,701,12913,0.0543,4.8
https://www.law-attorneys.com/dog-bites/case-21,632,13850,0.0457,14.8
https://www.law-attorneys.com/dog-bites/case-22,2233,41989,0.0532,13.6
https://www.law-attorneys.com/dog-bites/case-23,1440,46309,0.0311,13.2
https://www.law-attorneys.com/dog-bites/case-24,507,10424,0.0487,21.4
https://www.law-attorneys.com/dog-bites/case-25,1005,42623,0.0236,6.9
https://www.law-attorneys.com/dog-bites/case-26,811,13987,0.058,5.9
https://www.law-attorneys.com/dog-bites/case-27,2443,37305,0.0655,22.6
https://www.law-attorneys.com/dog-bites/case-28,702,29534,0.0238,21.1
https://www.law-attorneys.com/dog-bites/case-29,56,37838,0.0015,5.0
https://www.law-attorneys.com/dog-bites/case-30,864,19305,0.0448,7.9
https://www.law-attorneys.com/dog-bites/case-31,293,35785,0.0082,11.9
https://www.law-attorneys.com/dog-bites/case-32,616,14821,0.0416,22.0
https://www.law-attorneys.com/dog-bites/case-33,1192,25418,0.0469,11.7
https://www.law-attorneys.com/dog-bites/case-34,517,11310,0.0458,18.1
https://www.law-attorneys.com/dog-bites/case-35,1186,26247,0.0452,18.8
https://www.law-attorneys.com/dog-bites/case-36,276,23045,0.012,9.3
https://www.law-attorneys.com/dog-bites/case-37,1439,28505,0.0505,24.9
https://www.law-attorneys.com/dog-bites/case-38,31,19700,0.0016,13.6
https://www.law-attorneys.com/dog-bites/case-39,462,39526,0.0117,22.2
https://www.law-attorneys.com/dog-bites/case-40,1474,33141,0.0445,3.6
https://www.law-attorneys.com/dog-bites/case-41,2121,36195,0.0586,2.3
https://www.law-attorneys.com/dog-bites/case-42,362,8210,0.0441,8.9
https://www.law-attorneys.com/dog-bites/case-43,91,2000,0.0459,2.6
https://www.law-attorneys.com/dog-bites/case-44,2423,30640,0.0791,20.2
https://www.law-attorneys.com/dog-bites/case-45,660,13739,0.0481,13.6
https://www.law-attorneys.com/dog-bites/case-46,808,27324,0.0296,3.2
https://www.law-attorneys.com/dog-bites/case-47,1231,49877,0.0247,15.9
https://www.law-attorneys.com/dog-bites/case-48,557,16484,0.0338,19.8
https://www.law-attorneys.com/dog-bites/case-49,1955,29455,0.0664,22.8
https://www.law-attorneys.com/dog-bites/case-50,1019,20305,0.0502,17.9
https://www.law-attorneys.com/dog-bites/case-51,279,18729,0.0149,7.4
https://www.law-attorneys.com/dog-bites/case-52,2279,42678,0.0534,4.5
https://www.law-attorneys.com/dog-bites/case-53,701,10377,0.0676,14.9
https://www.law-attorneys.com/dog-bites/case-54,1201,21890,0.0549,20.5
https://www.law-attorneys.com/dog-bites/case-55,565,26932,0.021,22.1
https://www.law-attorneys.com/dog-bites/case-56,852,23748,0.0359,10.7
https://www.law-attorneys.com/dog-bites/case-57,1491,22873,0.0652,24.7
https://www.law-attorneys.com/dog-bites/case-58,905,14131,0.0641,18.7
https://www.law-attorneys.com/dog-bites/case-59,111,8689,0.0128,19.1
https://www.law-attorneys.com/dog-bites/case-60,1429,49467,0.0289,17.6
https://www.law-attorneys.com/slip-and-fall/case-1,3190,41112,0.0776,17.7
https://www.law-attorneys.com/slip-and-fall/case-2,856,34826,0.0246,22.6
https://www.law-attorneys.com/slip-and-fall/case-3,1522,25581,0.0595,12.8
https://www.law-attorneys.com/slip-and-fall/case-4,31,2960,0.0105,5.2
https://www.law-attorneys.com/slip-and-fall/case-5,377,26744,0.0141,24.1
https://www.law-attorneys.com/slip-and-fall/case-6,13,11123,0.0012,19.0
https://www.law-attorneys.com/slip-and-fall/case-7,399,30494,0.0131,14.5
https://www.law-attorneys.com/slip-and-fall/case-8,1470,31901,0.0461,14.4
https://www.law-attorneys.com/slip-and-fall/case-9,639,12704,0.0503,5.7
https://www.law-attorneys.com/slip-and-fall/case-10,2035,42574,0.0478,25.0
https://www.law-attorneys.com/slip-and-fall/case-11,885,39030,0.0227,23.6
https://www.law-attorneys.com/slip-and-fall/case-12,78,1513,0.0516,10.1
https://www.law-attorneys.com/slip-and-fall/case-13,22,20533,0.0011,19.9
https://www.law-attorneys.com/slip-and-fall/case-14,375,38266,0.0098,16.8
https://www.law-attorneys.com/slip-and-fall/case-15,1571,49420,0.0318,20.4
https://www.law-attorneys.com/slip-and-fall/case-16,851,12820,0.0664,24.3
https://www.law-attorneys.com/slip-and-fall/case-17,394,10923,0.0361,24.3
https://www.law-attorneys.com/slip-and-fall/case-18,459,43723,0.0105,4.6
https://www.law-attorneys.com/slip-and-fall/case-19,767,13463,0.057,19.1
https://www.law-attorneys.com/slip-and-fall/case-20,556,49251,0.0113,23.3
https://www.law-attorneys.com/slip-and-fall/case-21,279,9599,0.0291,14.2
https://www.law-attorneys.com/slip-and-fall/case-22,1175,28872,0.0407,17.9
https://www.law-attorneys.com/slip-and-fall/case-23,271,4350,0.0624,3.9
https://www.law-attorneys.com/slip-and-fall/case-24,876,23076,0.038,21.4
https://www.law-attorneys.com/slip-and-fall/case-25,4,74,0.0634,3.4
https://www.law-attorneys.com/slip-and-fall/case-26,970,38995,0.0249,12.3
https://www.law-attorneys.com/slip-and-fall/case-27,236,5077,0.0466,8.6
https://www.law-attorneys.com/slip-and-fall/case-28,55,1151,0.0486,2.6
https://www.law-attorneys.com/slip-and-fall/case-29,59,5467,0.0109,24.4
https://www.law-attorneys.com/slip-and-fall/case-30,1237,35445,0.0349,11.8
https://www.law-attorneys.com/slip-and-fall/case-31,1236,21253,0.0582,12.8
https://www.law-attorneys.com/slip-and-fall/case-32,123,2976,0.0414,11.4
https://www.law-attorneys.com/slip-and-fall/case-33,578,28210,0.0205,19.4
https://www.law-attorneys.com/slip-and-fall/case-34,187,4745,0.0396,4.0
https://www.law-attorneys.com/slip-and-fall/case-35,1179,46092,0.0256,8.6
https://www.law-attorneys.com/slip-and-fall/case-36,374,5695,0.0658,13.9
https://www.law-attorneys.com/slip-and-fall/case-37,191,2395,0.08,18.5
https://www.law-attorneys.com/slip-and-fall/case-38,570,16217,0.0352,15.4
https://www.law-attorneys.com/slip-and-fall/case-39,2750,42705,0.0644,16.5
https://www.law-attorneys.com/slip-and-fall/case-40,3056,38785,0.0788,22.8
https://www.law-attorneys.com/slip-and-fall/case-41,1599,27387,0.0584,9.8
https://www.law-attorneys.com/slip-and-fall/case-42,357,25915,0.0138,20.5
https://www.law-attorneys.com/slip-and-fall/case-43,390,17530,0.0223,6.7
https://www.law-attorneys.com/slip-and-fall/case-44,53,6173,0.0086,4.8
https://www.law-attorneys.com/slip-and-fall/case-45,329,15758,0.0209,1.9
https://www.law-attorneys.com/slip-and-fall/case-46,83,3936,0.0213,21.7
https://www.law-attorneys.com/slip-and-fall/case-47,58,32298,0.0018,16.1
https://www.law-attorneys.com/slip-and-fall/case-48,1719,39624,0.0434,9.3
https://www.law-attorneys.com/slip-and-fall/case-49,2104,38469,0.0547,9.7
https://www.law-attorneys.com/slip-and-fall/case-50,1001,21875,0.0458,4.3
https://www.law-attorneys.com/slip-and-fall/case-51,3340,49488,0.0675,8.4
https://www.law-attorneys.com/slip-and-fall/case-52,655,10603,0.0618,7.9
https://www.law-attorneys.com/slip-and-fall/case-53,2509,32170,0.078,23.7
https://www.law-attorneys.com/slip-and-fall/case-54,2154,30257,0.0712,6.2
https://www.law-attorneys.com/slip-and-fall/case-55,514,8186,0.0628,2.3
https://www.law-attorneys.com/slip-and-fall/case-56,187,20631,0.0091,22.4
https://www.law-attorneys.com/slip-and-fall/case-57,425,43816,0.0097,19.8
https://www.law-attorneys.com/slip-and-fall/case-58,52,6268,0.0084,16.2
https://www.law-attorneys.com/slip-and-fall/case-59,1803,42141,0.0428,9.1
https://www.law-attorneys.com/slip-and-fall/case-60,2252,31073,0.0725,14.4
https://www.law-attorneys.com/medical-malpractice/case-1,518,38696,0.0134,23.7
https://www.law-attorneys.com/medical-malpractice/case-2,29,2048,0.0146,8.8
https://www.law-attorneys.com/medical-malpractice/case-3,577,38256,0.0151,11.8
https://www.law-attorneys.com/medical-malpractice/case-4,70,2208,0.032,14.8
https://www.law-attorneys.com/medical-malpractice/case-5,192,31505,0.0061,7.5
https://www.law-attorneys.com/medical-malpractice/case-6,304,11524,0.0264,4.2
https://www.law-attorneys.com/medical-malpractice/case-7,123,22501,0.0055,2.2
https://www.law-attorneys.com/medical-malpractice/case-8,35,1825,0.0197,20.8
https://www.law-attorneys.com/medical-malpractice/case-9,81,5721,0.0143,22.9
https://www.law-attorneys.com/medical-malpractice/case-10,1276,48905,0.0261,13.7
https://www.law-attorneys.com/medical-malpractice/case-11,1357,26822,0.0506,3.1
https://www.law-attorneys.com/medical-malpractice/case-12,277,9003,0.0308,16.8
https://www.law-attorneys.com/medical-malpractice/case-13,1172,24026,0.0488,13.2
https://www.law-attorneys.com/medical-malpractice/case-14,77,3444,0.0225,6.3
https://www.law-attorneys.com/medical-malpractice/case-15,1312,18510,0.0709,8.6
https://www.law-attorneys.com/medical-malpractice/case-16,213,11865,0.018,11.4
https://www.law-attorneys.com/medical-malpractice/case-17,1185,48179,0.0246,19.4
https://www.law-attorneys.com/medical-malpractice/case-18,2526,39534,0.0639,11.0
https://www.law-attorneys.com/medical-malpractice/case-19,1325,47850,0.0277,23.9
https://www.law-attorneys.com/medical-malpractice/case-20,1372,47005,0.0292,19.9
https://www.law-attorneys.com/medical-malpractice/case-21,915,43374,0.0211,14.6
https://www.law-attorneys.com/medical-malpractice/case-22,362,7377,0.0491,12.4
https://www.law-attorneys.com/medical-malpractice/case-23,2934,49913,0.0588,12.8
https://www.law-attorneys.com/medical-malpractice/case-24,40,1862,0.022,7.2
https://www.law-attorneys.com/medical-malpractice/case-25,372,46616,0.008,21.0
